Id,organism,seedid,kingdom,phylum,mclass,order,family,genus,oxygenstat,metabolism,gram,mtype,genes,reactions,metabolites,draftcreator,draftcreated,phenotype,imgid,ncbiid,platform,kbaseid
bio/CEDDA,"""Cedecea davisae DSM 4568""","""Cedecea davisae DSM 4568 (566551.4)""",Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Cedecea,dcs:OxygenRequirementStatusAerobe,dcs:MicrobialMetabolismTypeRespiratory,dcs:BacteriaGramStainTypeNegative,,1258,2255,1525,Laura Kutt,2016-04-18,,2541046972.0,566551.0,dcs:DataCollectionPlatformModelSEED,kb|g.32230
bio/CELLE,"""Cellulosilyticum lentocellum DSM 5427""","""nan""",Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Cellulosilyticum,dcs:OxygenRequirementStatusObligate_anaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative,dcs:BacteriaGramStainTypeNegative,,778,1239,948,Laura Kutt,2016-04-18,,,642492.0,dcs:DataCollectionPlatformModelSEED,kb|g.2732
bio/CELCE,"""Cellulosimicrobium cellulans J36""","""nan""",Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Promicromonosporaceae,Cellulosimicrobium,dcs:OxygenRequirementStatusFacultative_anaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative,dcs:BacteriaGramStainTypePositive,dcs:PathogenMethodOfInvasionOpportunistic_pathogen,490,1278,972,chenry,2016-04-15,,2508501028.0,935839.0,dcs:DataCollectionPlatformModelSEED,kb|g.216424
bio/CETSO,"""Cetobacterium somerae ATCC BAA-47401""","""nan""",Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium,dcs:OxygenRequirementStatusObligate_anaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative,dcs:BacteriaGramStainTypeNegative,,845,1323,1029,Laura Kutt,2016-04-18,,2558860278.0,1319815.0,dcs:DataCollectionPlatformModelSEED,kb|g.209858
bio/CITAM,"""Citrobacter amalonaticus Y19""","""nan""",Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Citrobacter,dcs:OxygenRequirementStatusFacultative_anaerobe,dcs:MicrobialMetabolismTypeFermentative_respiratory,dcs:BacteriaGramStainTypeNegative,,1318,1827,1219,Laura Kutt,2016-04-18,,2585427953.0,1261127.0,dcs:DataCollectionPlatformModelSEED,kb|g.240294
bio/CITFR,"""Citrobacter freundii ATCC 8090 = MTCC 1658""","""Citrobacter freundii ATCC 8090 = MTCC 1658 (1006003.3)""",Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Citrobacter,dcs:OxygenRequirementStatusFacultative_anaerobe,dcs:MicrobialMetabolismTypeFermentative_respiratory,dcs:BacteriaGramStainTypeNegative,,1436,1867,1249,Laura Kutt,2016-05-30,,2519899575.0,1006003.0,dcs:DataCollectionPlatformModelSEED,kb|g.23271
bio/CITFR,"""Citrobacter freundii UCI 31""","""nan""",Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Citrobacter,dcs:OxygenRequirementStatusFacultative_anaerobe,dcs:MicrobialMetabolismTypeFermentative_respiratory,dcs:BacteriaGramStainTypeNegative,,1285,1842,1222,Laura Kutt,2016-04-18,,2571042150.0,1400136.0,dcs:DataCollectionPlatformModelSEED,kb|g.212102
bio/CITKO,"""Citrobacter koseri ATCC BAA-895""","""Citrobacter koseri ATCC BAA-895 (290338.8)""",Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Citrobacter,dcs:OxygenRequirementStatusFacultative_anaerobe,dcs:MicrobialMetabolismTypeFermentative_or_respiratory_citrate_and_a_variety_of_other_compounds_used,dcs:BacteriaGramStainTypeNegative,dcs:PathogenMethodOfInvasionOpportunistic_pathogen,1234,1742,1138,Eugen Bauer,2014-09-03,3.0,640753015.0,290338.0,dcs:DataCollectionPlatformModelSEED,
bio/CITSP,"""Citrobacter sp. 30_2""","""Citrobacter sp. 30_2 (469595.3)""",Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Citrobacter,dcs:OxygenRequirementStatusFacultative_anaerobe,dcs:MicrobialMetabolismTypeFermentative_or_respiratory_citrate_and_a_variety_of_other_compounds_used,dcs:BacteriaGramStainTypeNegative,dcs:PathogenMethodOfInvasionOpportunistic_pathogen,1285,1775,1156,Ines Thiele,2012-08-06,3.0,646206256.0,469595.0,dcs:DataCollectionPlatformModelSEED,
bio/CITYO,"""Citrobacter youngae ATCC 29220""","""Citrobacter youngae ATCC 29220 (500640.5)""",Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Citrobacter,dcs:OxygenRequirementStatusFacultative_anaerobe,dcs:MicrobialMetabolismTypeFermentative_or_respiratory_citrate_and_a_variety_of_other_compounds_used,dcs:BacteriaGramStainTypeNegative,dcs:PathogenMethodOfInvasionOpportunistic_pathogen,1299,2313,1443,Ines Thiele,2012-08-06,3.0,2562617093.0,500640.0,dcs:DataCollectionPlatformModelSEED,
bio/CLOEV,"""Cloacibacillus evryensis DSM 19522""","""nan""",Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Cloacibacillus,dcs:OxygenRequirementStatusObligate_anaerobe,dcs:MicrobialMetabolismTypeAsaccharolytic_fermentative,dcs:BacteriaGramStainTypeNegative,,873,1214,993,Laura Kutt,2016-04-19,,,866499.0,dcs:DataCollectionPlatformModelSEED,kb|g.216301
bio/CLOSP,"""Clostridiales sp. 1_7_47FAA""","""Clostridiales bacterium 1_7_47FAA (457421.5)""",Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,dcs:OxygenRequirementStatusObligate_anaerobe,dcs:MicrobialMetabolismTypeUncharacterized,dcs:BacteriaGramStainTypeUncharacterized,dcs:PathogenMethodOfInvasionUncharacterized,1302,1867,1263,Ines Thiele,2012-08-06,5.0,643886007.0,457421.0,dcs:DataCollectionPlatformModelSEED,
bio/CLOAT,"""Clostridium acetobutylicum ATCC 824""","""Clostridium acetobutylicum ATCC 824 (272562.8)""",Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,dcs:OxygenRequirementStatusAnaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative,dcs:BacteriaGramStainTypePositive,,836,1305,1026,,,,,272562.0,dcs:DataCollectionPlatformModelSEED,kb|g.602
bio/CLOAS,"""Clostridium asparagiforme DSM 15981""","""Clostridium asparagiforme DSM 15981 (518636.5)""",Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,dcs:OxygenRequirementStatusObligate_anaerobe,dcs:MicrobialMetabolismTypeFermentative_few_compounds_used,dcs:BacteriaGramStainTypePositive,dcs:PathogenMethodOfInvasionCommensal,1206,1285,965,Ines Thiele,2012-04-20,1.0,643886112.0,518636.0,dcs:DataCollectionPlatformModelSEED,
bio/CLOBA,"""Clostridium bartlettii DSM 16795""","""Clostridium bartlettii DSM 16795 (445973.7)""",Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Intestinibacter,dcs:OxygenRequirementStatusObligate_anaerobe,dcs:MicrobialMetabolismTypeFerments_carbohydrates_and_amino_acids,dcs:BacteriaGramStainTypePositive,dcs:PathogenMethodOfInvasionCommensal,682,1381,1023,Ines Thiele,2012-04-20,5.0,641736113.0,445973.0,dcs:DataCollectionPlatformModelSEED,
bio/CLOBE,"""Clostridium beijerinckii NCIMB 8052""","""Clostridium beijerincki beijerinckii NCIMB 8052 (290402.34)""",Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,dcs:OxygenRequirementStatusAnaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative,dcs:BacteriaGramStainTypePositive,,1223,1476,1091,Laura Kutt,2016-04-18,,640753016.0,290402.0,dcs:DataCollectionPlatformModelSEED,kb|g.689
bio/CLOBI,"""Clostridium bifermentans ATCC 19299""","""nan""",Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Paraclostridium,dcs:OxygenRequirementStatusObligate_anaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative_proteolytic,dcs:BacteriaGramStainTypePositive,,767,1256,974,Laura Kutt,2016-04-18,,,1233170.0,dcs:DataCollectionPlatformModelSEED,kb|g.208271
bio/CLOBO,"""Clostridium bolteae ATCC BAA-613""","""Clostridium bolteae ATCC BAA-613 (411902.9)""",Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,dcs:OxygenRequirementStatusObligate_anaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative,dcs:BacteriaGramStainTypePositive,dcs:PathogenMethodOfInvasionCommensal,1298,1932,1300,Ines Thiele,2012-04-20,5.0,641380428.0,411902.0,dcs:DataCollectionPlatformModelSEED,
bio/CLOBO,"""Clostridium botulinum A str. ATCC 19397""","""Clostridium botulinum A str. ATCC 19397 (441770.4)""",Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,dcs:OxygenRequirementStatusAnaerobe,dcs:MicrobialMetabolismTypeProteolytic_fermentative,dcs:BacteriaGramStainTypePositive,,863,1435,1064,Laura Kutt,2016-05-29,,640753017.0,441770.0,dcs:DataCollectionPlatformModelSEED,kb|g.1488
bio/CLOBO,"""Clostridium botulinum A str. ATCC 3502""","""nan""",Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,dcs:OxygenRequirementStatusAnaerobe,dcs:MicrobialMetabolismTypeProteolytic_fermentative,dcs:BacteriaGramStainTypePositive,,783,1390,1042,Laura Kutt,2016-04-18,,640427109.0,413999.0,dcs:DataCollectionPlatformModelSEED,kb|g.1398
bio/CLOBO,"""Clostridium botulinum A str. Hall""","""Clostridium botulinum A str. Hall (441771.4)""",Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,dcs:OxygenRequirementStatusAnaerobe,dcs:MicrobialMetabolismTypeProteolytic_fermentative,dcs:BacteriaGramStainTypePositive,,831,1380,1028,Laura Kutt,2016-05-30,,640753018.0,441771.0,dcs:DataCollectionPlatformModelSEED,kb|g.1489
bio/CLOBO,"""Clostridium botulinum Bf""","""Clostridium botulinum Bf (445336.4)""",Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,dcs:OxygenRequirementStatusAnaerobe,dcs:MicrobialMetabolismTypeProteolytic_fermentative,dcs:BacteriaGramStainTypePositive,,901,1432,1070,Laura Kutt,2016-05-30,,641736148.0,445336.0,dcs:DataCollectionPlatformModelSEED,kb|g.1519
bio/CLOBO,"""Clostridium botulinum E1 str. 'BoNT E Beluga'""","""Clostridium botulinum E1 str. 'BoNT E Beluga' (536233.3)""",Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,dcs:OxygenRequirementStatusAnaerobe,dcs:MicrobialMetabolismTypeProteolytic_fermentative,dcs:BacteriaGramStainTypePositive,,874,1398,1030,Laura Kutt,2016-05-30,,645058813.0,536233.0,dcs:DataCollectionPlatformModelSEED,kb|g.2143
bio/CLOBO,"""Clostridium botulinum F str. 230613""","""Clostridium botulinum F str. 230613 (758678.3)""",Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,dcs:OxygenRequirementStatusAnaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative,dcs:BacteriaGramStainTypePositive,,942,1426,1064,Laura Kutt,2016-06-02,,646862320.0,758678.0,dcs:DataCollectionPlatformModelSEED,kb|g.3249
bio/CLOBU,"""Clostridium butyricum DSM 10702""","""Clostridium butyricum DSM 10702 (1316931.3)""",Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,dcs:OxygenRequirementStatusObligate_anaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative,dcs:BacteriaGramStainTypePositive,dcs:PathogenMethodOfInvasionProbiotic,1022,1422,988,chenry,2014-09-10,,2554235109.0,1316931.0,dcs:DataCollectionPlatformModelSEED,kb|g.31994
bio/CLOBU,"""Clostridium butyricum E4 str. BoNT E BL5262""","""Clostridium butyricum E4 str. BoNT E BL5262 (632245.3)""",Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,dcs:OxygenRequirementStatusObligate_anaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative,dcs:BacteriaGramStainTypePositive,dcs:PathogenMethodOfInvasionProbiotic,942,1403,997,chenry,2014-09-09,,645058703.0,632245.0,dcs:DataCollectionPlatformModelSEED,kb|g.2662
bio/CLOCA,"""Clostridium cadaveris AGR2141""","""nan""",Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,dcs:OxygenRequirementStatusAnaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative,dcs:BacteriaGramStainTypePositive,,769,1295,1003,Laura Kutt,2016-04-18,,,1280692.0,dcs:DataCollectionPlatformModelSEED,kb|g.208696
bio/CLOCE,"""Clostridium celatum DSM 1785""","""Clostridium celatum DSM 1785 (545697.3)""",Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,dcs:OxygenRequirementStatusAnaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative,dcs:BacteriaGramStainTypePositive,,929,2539,1392,Laura Kutt,2016-06-02,,,545697.0,dcs:DataCollectionPlatformModelSEED,kb|g.32222
bio/CLOCE,"""Clostridium cellobioparum DSM 1351 = ATCC 15832""","""nan""",Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium,,,dcs:BacteriaGramStainTypeNegative,,1047,1360,1048,Laura Kutt,2016-04-18,,,1121303.0,dcs:DataCollectionPlatformModelSEED,kb|g.240320
bio/CLOCI,"""Clostridium citroniae WAL-17108""","""Clostridium citroniae WAL-17108 (742733.3)""",Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,dcs:OxygenRequirementStatusObligate_anaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative,dcs:BacteriaGramStainTypeNegative,,1470,1351,1032,Laura Kutt,2016-04-18,,2513237360.0,742733.0,dcs:DataCollectionPlatformModelSEED,kb|g.27477
bio/CLOCL,"""Clostridium clariflavum DSM 19732""","""Clostridium clariflavum DSM 19732 (720554.3)""",Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium,,,,,758,1232,984,Laura Kutt,2016-04-18,,2507262051.0,720554.0,dcs:DataCollectionPlatformModelSEED,kb|g.27460
bio/CLOCL,"""Clostridium clostridioforme CM201""","""Clostridium clostridioforme CM201 (999410.3)""",Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,dcs:OxygenRequirementStatusObligate_anaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative,dcs:BacteriaGramStainTypeNegative,dcs:PathogenMethodOfInvasionOpportunistic_pathogen,1278,1362,991,Laura Kutt,2016-04-18,,2534682205.0,999410.0,dcs:DataCollectionPlatformModelSEED,kb|g.32465
bio/CLODI,"""Clostridium difficile CD196""","""Clostridium difficile CD196 (645462.3)""",Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,dcs:OxygenRequirementStatusObligate_anaerobe,dcs:MicrobialMetabolismTypeProteolytic_few_carbohydrates_fermented,dcs:BacteriaGramStainTypePositive,dcs:PathogenMethodOfInvasionOpportunistic_pathogen,889,1368,1005,Eugen Bauer,2014-08-03,3.0,646311914.0,645462.0,dcs:DataCollectionPlatformModelSEED,
bio/CLODI,"""Clostridium difficile NAP07""","""Clostridium difficile NAP07 (525258.3)""",Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,dcs:OxygenRequirementStatusObligate_anaerobe,dcs:MicrobialMetabolismTypeProteolytic_few_carbohydrates_fermented,dcs:BacteriaGramStainTypePositive,dcs:PathogenMethodOfInvasionOpportunistic_pathogen,868,1689,1178,Ines Thiele,2012-06-29,3.0,647000227.0,525258.0,dcs:DataCollectionPlatformModelSEED,
bio/CLODI,"""Clostridium difficile NAP08""","""Clostridium difficile NAP08 (525259.3)""",Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,dcs:OxygenRequirementStatusObligate_anaerobe,dcs:MicrobialMetabolismTypeProteolytic_few_carbohydrates_fermented,dcs:BacteriaGramStainTypePositive,dcs:PathogenMethodOfInvasionOpportunistic_pathogen,868,1693,1182,Ines Thiele,2012-06-29,3.0,647000228.0,525259.0,dcs:DataCollectionPlatformModelSEED,
bio/CLODI,"""Clostridium difficile R20291""","""Clostridium difficile R20291 (645463.3)""",Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,dcs:OxygenRequirementStatusObligate_anaerobe,dcs:MicrobialMetabolismTypeProteolytic_few_carbohydrates_fermented,dcs:BacteriaGramStainTypePositive,dcs:PathogenMethodOfInvasionOpportunistic_pathogen,895,1402,1008,Eugen Bauer,2014-08-03,3.0,646311915.0,645463.0,dcs:DataCollectionPlatformModelSEED,
bio/CLOGL,"""Clostridium glycolicum ATCC 14880 = DSM 1288""","""Clostridium glycolicum ATCC 14880 (1121315.3)""",Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Terrisporobacter,dcs:OxygenRequirementStatusObligate_anaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative,dcs:BacteriaGramStainTypePositive,,986,1329,1012,Laura Kutt,2016-04-18,,,1121315.0,dcs:DataCollectionPlatformModelSEED,kb|g.207085
bio/CLOHA,"""Clostridium hathewayi 12489931""","""Clostridium hathewayi 12489931 (999412.4)""",Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Hungatella,dcs:OxygenRequirementStatusObligate_anaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative,dcs:BacteriaGramStainTypeNegative,,1343,1358,1029,Laura Kutt,2016-05-30,,2534682211.0,999412.0,dcs:DataCollectionPlatformModelSEED,kb|g.32467
bio/CLOHA,"""Clostridium hathewayi DSM 13479""","""nan""",Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Hungatella,dcs:OxygenRequirementStatusObligate_anaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative,dcs:BacteriaGramStainTypeNegative,,1079,1312,994,Laura Kutt,2016-04-18,,,566550.0,dcs:DataCollectionPlatformKbase,kb|g.26553
bio/CLOHI,"""Clostridium hiranonis TO-931 DSM 13275""","""Clostridium hiranonis DSM 13275 (500633.7)""",Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,unclassified Peptostreptococcaceae,dcs:OxygenRequirementStatusObligate_anaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative,dcs:BacteriaGramStainTypePositive,dcs:PathogenMethodOfInvasionCommensal,574,1258,1011,Ines Thiele,2012-08-06,3.0,642979371.0,89152.0,dcs:DataCollectionPlatformKbase,
bio/CLOHY,"""Clostridium hylemonae DSM 15053""","""Clostridium hylemonae DSM 15053 (553973.6)""",Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,dcs:OxygenRequirementStatusObligate_anaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative,dcs:BacteriaGramStainTypePositive,dcs:PathogenMethodOfInvasionCommensal,919,1987,1329,Ines Thiele,2012-08-06,1.0,642979359.0,553973.0,dcs:DataCollectionPlatformModelSEED,
bio/CLOIN,"""Clostridium indolis DSM 755""","""nan""",Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,dcs:OxygenRequirementStatusObligate_anaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative,dcs:BacteriaGramStainTypePositive,,1476,1430,1090,Laura Kutt,2016-04-18,,2524614838.0,1304881.0,dcs:DataCollectionPlatformModelSEED,kb|g.209340
bio/CLOIN,"""Clostridium innocuum 2959""","""Clostridium innocuum 2959 (999413.4)""",Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelatoclostridium,dcs:OxygenRequirementStatusObligate_anaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative,dcs:BacteriaGramStainTypeNegative,dcs:PathogenMethodOfInvasionPathogen,1135,1286,975,Laura Kutt,2016-04-18,,2534682210.0,999413.0,dcs:DataCollectionPlatformKbase,kb|g.32468
bio/CLOLE,"""Clostridium leptum DSM 753""","""Clostridium leptum DSM 753 (428125.8)""",Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium,dcs:OxygenRequirementStatusObligate_anaerobe,dcs:MicrobialMetabolismTypeFew_carbohydrates_weakly_fermented,dcs:BacteriaGramStainTypePositive,dcs:PathogenMethodOfInvasionCommensal,605,1931,1213,Ines Thiele,2012-08-06,1.0,641380427.0,428125.0,dcs:DataCollectionPlatformKbase,
bio/CLOME,"""Clostridium methoxybenzovorans SR3""","""nan""",Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,dcs:OxygenRequirementStatusObligate_anaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative_utilizes_methoxybenzoic_acid,dcs:BacteriaGramStainTypePositive,,1489,1432,1093,Laura Kutt,2016-04-18,,2526164529.0,1286820.0,dcs:DataCollectionPlatformModelSEED,kb|g.209093
bio/CLOME,"""Clostridium methylpentosum R2, DSM 5476""","""Clostridium methylpentosum DSM 5476 (537013.3)""",Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium,dcs:OxygenRequirementStatusObligate_anaerobe,dcs:MicrobialMetabolismTypeFerments_only_L-rhamnose_L-fucose_L-lyxose_and_D-arabinose,dcs:BacteriaGramStainTypePositive,dcs:PathogenMethodOfInvasionCommensal,509,1401,1052,Ines Thiele,2012-04-20,1.0,643886206.0,84026.0,dcs:DataCollectionPlatformModelSEED,
bio/CLONE,"""Clostridium nexile DSM 1787""","""Clostridium nexile DSM 1787 (500632.7)""",Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Tyzzerella,dcs:OxygenRequirementStatusObligate_anaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative,dcs:BacteriaGramStainTypePositive,dcs:PathogenMethodOfInvasionCommensal,646,2135,1210,Ines Thiele,2012-04-20,1.0,642979369.0,500632.0,dcs:DataCollectionPlatformModelSEED,
bio/CLOPA,"""Clostridium paraputrificum AGR2156""","""nan""",Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,dcs:OxygenRequirementStatusAnaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative,dcs:BacteriaGramStainTypePositive,,814,1300,990,Laura Kutt,2016-04-18,,,1280689.0,dcs:DataCollectionPlatformModelSEED,kb|g.208693
bio/CLOPF,"""Clostridium perfringens ATCC 13124""","""Clostridium perfringens ATCC 13124 (195103.9)""",Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,dcs:OxygenRequirementStatusAnaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative,dcs:BacteriaGramStainTypePositive,dcs:PathogenMethodOfInvasionPathogen,735,1358,1002,Laura Kutt,2016-04-18,,637000077.0,195103.0,dcs:DataCollectionPlatformModelSEED,kb|g.203
bio/CLORA,"""Clostridium ramosum VPI 0427, DSM 1402""","""Clostridium ramosum DSM 1402 (445974.6)""",Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelatoclostridium,dcs:OxygenRequirementStatusObligate_anaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative,dcs:BacteriaGramStainTypePositive or negative,dcs:PathogenMethodOfInvasionCommensal,781,1039,844,Ines Thiele,2012-08-06,2.0,641736198.0,445974.0,dcs:DataCollectionPlatformModelSEED,
bio/CLOSA,"""Clostridium saccharogumia DSM 17460""","""nan""",Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelatoclostridium,dcs:OxygenRequirementStatusObligate_anaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative,dcs:BacteriaGramStainTypeVariable,,671,1215,948,Laura Kutt,2016-04-18,,,1121333.0,dcs:DataCollectionPlatformKbase,kb|g.240337
bio/CLOSA,"""Clostridium saccharoperbutylacetonicum N1-4(HMT)""","""Clostridium saccharoperbutylacetonicum N1-4(HMT) (931276.4)""",Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,dcs:OxygenRequirementStatusAnaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative,dcs:BacteriaGramStainTypePositive,,1319,1496,1107,Laura Kutt,2016-04-18,,2608642274.0,931276.0,dcs:DataCollectionPlatformKbase,kb|g.32397
bio/CLOSA,"""Clostridium sartagoforme AAU1""","""nan""",Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,dcs:OxygenRequirementStatusAnaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative,dcs:BacteriaGramStainTypePositive,,824,1285,989,Laura Kutt,2016-04-18,,2541047555.0,1202534.0,dcs:DataCollectionPlatformModelSEED,kb|g.31085
bio/CLOSC,"""Clostridium scindens ATCC 35704""","""Clostridium scindens ATCC 35704 (411468.9)""",Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,dcs:OxygenRequirementStatusAerotolerant,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative,dcs:BacteriaGramStainTypePositive,dcs:PathogenMethodOfInvasionCommensal,735,2049,1277,Ines Thiele,2012-04-20,1.0,641736197.0,411468.0,dcs:DataCollectionPlatformModelSEED,
bio/CLOSO,"""Clostridium sordellii ATCC 9714""","""nan""",Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Paeniclostridium,dcs:OxygenRequirementStatusObligate_anaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative,dcs:BacteriaGramStainTypePositive,,1303,1274,994,Laura Kutt,2016-04-18,,2563367177.0,1292036.0,dcs:DataCollectionPlatformModelSEED,kb|g.209151
bio/CLOSP,"""Clostridium sp M62/1""","""Clostridium sp. M62/1 (411486.3)""",Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,dcs:OxygenRequirementStatusObligate_anaerobe,dcs:MicrobialMetabolismTypeUncharacterized,dcs:BacteriaGramStainTypeUncharacterized,dcs:PathogenMethodOfInvasionUncharacterized,694,1458,1116,Ines Thiele,2012-08-06,2.0,641380448.0,411486.0,dcs:DataCollectionPlatformModelSEED,
bio/CLOSP,"""Clostridium sp. 7_2_43FAA""","""Clostridium sp. 7_2_43FAA (457396.3)""",Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,dcs:OxygenRequirementStatusObligate_anaerobe,dcs:MicrobialMetabolismTypeUncharacterized,dcs:BacteriaGramStainTypeUncharacterized,dcs:PathogenMethodOfInvasionUncharacterized,780,1164,899,Ines Thiele,2012-08-06,2.0,2562617079.0,457396.0,dcs:DataCollectionPlatformModelSEED,
